Country or region,Avg. Rank,Avg. Happiness,Avg. GDP,Avg. Family,Avg. Health,Avg. Freedom,Avg. Generosity,Avg. Corruption
Sierra Leone,116.4,4.5592000221252444,0.317502185743332,0.844369208995819,0.04951295077949762,0.33958953819274895,0.24737818028450018,0.06778303520822526
Mauritania,125.0,4.354999963378907,0.5686874577484129,1.0789061660766601,0.34229585592842093,0.132043608604908,0.17754600484085079,0.1344234009332656
Kenya,120.8,4.449399994659424,0.49057189242935173,0.972022145111084,0.41216166993522635,0.4431347532100678,0.3915120618724822,0.059578263843059545
Armenia,122.8,4.39319998550415,0.8391333475723265,0.890872744155884,0.6978508851966858,0.2160286534719468,0.08239361836528777,0.03876688430082798
Botswana,140.2,3.830000006484986,1.0535808308715822,1.107410998916626,0.3384071018753052,0.4906072665863038,0.07904168964338301,0.10460263981676102
Myanmar,124.6,4.383000015258789,0.474262110080719,0.9774191881866461,0.45255651374053957,0.4973164069824218,0.723533032196045,0.18631724093341823
Georgia,125.6,4.338799954986572,0.8538865328445434,0.481344986793518,0.6828313961715697,0.3521580071220398,0.051667763087511066,0.2665553270549774
Malawi,139.2,3.883000005722046,0.14271440765953064,0.43438176628875735,0.32706991667938246,0.4571509307556152,0.271226093952179,0.07742433080148696
Sri Lanka,123.0,4.392600011444092,0.937054028877258,1.141171277404786,0.6912521664390564,0.5323286509857178,0.3839847123260498,0.06841679323768615
Cameroon,109.8,4.695800034332276,0.5191550730171204,0.8520216437988282,0.20137842338085182,0.43716774972915645,0.20785569135761262,0.05008532628321649
Bulgaria,113.0,4.6186000450134275,1.0865358176651,1.2987878916854858,0.7359535360908509,0.2954583435173034,0.1010635388760566,0.007784306189954282
Egypt,123.6,4.37520002670288,0.9246903614997863,0.8613202784309388,0.5710934517440795,0.23929203092575083,0.10732028855705258,0.09111027309560779
Yemen,146.4,3.6257999870300304,0.4893126894721984,0.8654484493942259,0.36544018313789356,0.244174744421959,0.09692904183053981,0.06704548454117774
Mali,129.2,4.219000011444092,0.36096809876632696,1.1036126796417238,0.19973313485145563,0.3329247486610412,0.1747948397865296,0.09459204931068418
Congo (Brazzaville),121.4,4.377399977874757,0.7227428504943848,0.7165868726043702,0.34671748678779596,0.42301317416000356,0.11230042553424839,0.0928016267209053
Uganda,138.0,4.020199970245362,0.31872814306449904,1.066325547561646,0.2864985213251114,0.4285971910572052,0.2796892113552094,0.0630319437675476
Senegal,121.0,4.393999969482422,0.433285804485321,1.036208382148742,0.45066657051467895,0.35084045334434505,0.1747857786340714,0.09868008959341038
Gabon,120.4,4.407800030517578,1.1019920478820802,1.02631604346466,0.4229397176971436,0.3126897154083252,0.04988907566738128,0.07741935744047164
Niger,133.8,4.104599975585939,0.12660506615161898,0.8023950009727479,0.28283900140571594,0.385797739282608,0.1990487691059112,0.13354458923816678
Cambodia,128.6,4.205400044250488,0.5482370192375183,0.876219668266296,0.5119726807746888,0.6378711646995544,0.3361805936775208,0.06969919019031524
Tanzania,150.8,3.465999995422364,0.4397771752357483,0.939379960662842,0.3967318568992614,0.3868795555362702,0.3117492723445892,0.08369902135562894
Madagascar,145.0,3.745400010681152,0.2659177386341094,0.7732360744781493,0.43410466176033025,0.1773753530845642,0.1932925060949326,0.06270639509916306
Chad,138.6,4.003400021743774,0.3820165974750518,0.8038511744308471,0.09489494301605225,0.17768440536594401,0.19312877009487162,0.058758376453638086
Guinea,141.6,3.853599993896484,0.2733739860191346,0.6375789371299745,0.2417018278369904,0.35227350259399415,0.24850501841735842,0.1063055235438346
Ivory Coast,124.8,4.2731999656677235,0.5466917841262818,0.7863380060501097,0.11145043393683433,0.4283992385463714,0.181253493982315,0.1315163550891876
Burkina Faso,133.4,4.07380001296997,0.31465954271698,0.9357400010910041,0.2668128517332078,0.32399957020378123,0.2127729369163514,0.12299562119722363
Afghanistan,149.4,3.512799982070922,0.35711344353485097,0.40975266527557375,0.2547073557691574,0.117923904097557,0.2677301865158082,0.0580935660119057
Rwanda,152.0,3.4385999912261958,0.322057178647995,0.7884534046287536,0.41754296146202075,0.5816107705993653,0.22631120587348938,0.4734680027713776
Benin,137.8,3.90100001296997,0.3767450815467834,0.3404699687099456,0.2752620422611236,0.4193865551891326,0.186069692234993,0.07136780305576325
Syria,152.6,3.292199978637696,0.6991086268692015,0.3559305214500428,0.5662806684722901,0.08169988892507554,0.4312847456474304,0.1595474261074066
Burundi,153.8,3.078999994277954,0.062446513733387,0.4708167168693541,0.21160815833663937,0.10132015064001083,0.1859210369195938,0.10699158900928499
Togo,148.2,3.5441999771118162,0.26587094348144535,0.3235665060901642,0.288529113729477,0.36374722772789003,0.1747752301416398,0.10096900305604932
